name,parcode,trial,fix_item,fix_time,rt,block
P22,1,40,0,232.0,4261.735,LESS
P22,1,40,1,284.0,4261.735,LESS
P22,1,40,1,286.0,4261.735,LESS
P22,1,40,1,438.0,4261.735,LESS
P22,1,40,2,608.0,4261.735,LESS
P22,1,40,2,348.0,4261.735,LESS
P22,1,40,1,606.0,4261.735,LESS
P22,1,40,1,424.0,4261.735,LESS
P22,1,40,2,642.0,4261.735,LESS
P22,1,40,1,393.7349999999997,4261.735,LESS
P22,1,41,0,219.0,3559.258,LESS
P22,1,41,0,292.0,3559.258,LESS
P22,1,41,1,266.0,3559.258,LESS
P22,1,41,1,440.0,3559.258,LESS
P22,1,41,2,640.0,3559.258,LESS
P22,1,41,1,460.0,3559.258,LESS
P22,1,41,1,330.0,3559.258,LESS
P22,1,41,2,534.0,3559.258,LESS
P22,1,41,2,312.0,3559.258,LESS
P22,1,41,2,66.25799999999981,3559.258,LESS
P22,1,42,0,198.0,3754.4640000000004,LESS
P22,1,42,0,236.0,3754.4640000000004,LESS
P22,1,42,1,522.0,3754.4640000000004,LESS
P22,1,42,1,508.0,3754.4640000000004,LESS
P22,1,42,2,450.0,3754.4640000000004,LESS
P22,1,42,2,314.0,3754.4640000000004,LESS
P22,1,42,1,384.0,3754.4640000000004,LESS
P22,1,42,0,440.0,3754.4640000000004,LESS
P22,1,42,2,702.4640000000004,3754.4640000000004,LESS
P22,1,43,0,226.0,2431.751,LESS
P22,1,43,1,368.0,2431.751,LESS
P22,1,43,1,704.0,2431.751,LESS
P22,1,43,2,344.0,2431.751,LESS
P22,1,43,2,452.0,2431.751,LESS
P22,1,43,1,337.7510000000002,2431.751,LESS
P22,1,44,0,3.0,2199.342,LESS
P22,1,44,1,302.0,2199.342,LESS
P22,1,44,1,262.0,2199.342,LESS
P22,1,44,1,388.0,2199.342,LESS
P22,1,44,1,280.0,2199.342,LESS
P22,1,44,2,372.0,2199.342,LESS
P22,1,44,2,282.0,2199.342,LESS
P22,1,44,1,310.3420000000001,2199.342,LESS
P22,1,45,0,198.0,3269.922,LESS
P22,1,45,1,376.0,3269.922,LESS
P22,1,45,1,488.0,3269.922,LESS
P22,1,45,1,164.0,3269.922,LESS
P22,1,45,2,496.0,3269.922,LESS
P22,1,45,2,346.0,3269.922,LESS
P22,1,45,2,280.0,3269.922,LESS
P22,1,45,1,362.0,3269.922,LESS
P22,1,45,1,376.0,3269.922,LESS
P22,1,45,1,183.92200000000003,3269.922,LESS
P22,1,46,0,17.0,6606.698,LESS
P22,1,46,0,218.0,6606.698,LESS
P22,1,46,1,354.0,6606.698,LESS
P22,1,46,1,412.0,6606.698,LESS
P22,1,46,0,198.0,6606.698,LESS
P22,1,46,2,610.0,6606.698,LESS
P22,1,46,2,182.0,6606.698,LESS
P22,1,46,1,508.0,6606.698,LESS
P22,1,46,1,554.0,6606.698,LESS
P22,1,46,2,400.0,6606.698,LESS
P22,1,46,2,384.0,6606.698,LESS
P22,1,46,1,462.0,6606.698,LESS
P22,1,46,1,242.0,6606.698,LESS
P22,1,46,1,368.0,6606.698,LESS
P22,1,46,1,476.0,6606.698,LESS
P22,1,46,2,500.0,6606.698,LESS
P22,1,46,2,376.0,6606.698,LESS
P22,1,46,1,345.6980000000003,6606.698,LESS
P22,1,47,0,189.0,3642.1459999999997,LESS
P22,1,47,1,520.0,3642.1459999999997,LESS
P22,1,47,1,866.0,3642.1459999999997,LESS
P22,1,47,0,244.0,3642.1459999999997,LESS
P22,1,47,2,504.0,3642.1459999999997,LESS
P22,1,47,2,458.0,3642.1459999999997,LESS
P22,1,47,1,542.0,3642.1459999999997,LESS
P22,1,47,2,319.14599999999973,3642.1459999999997,LESS
P22,1,48,0,207.0,5213.48,LESS
P22,1,48,0,280.0,5213.48,LESS
P22,1,48,1,324.0,5213.48,LESS
P22,1,48,1,386.0,5213.48,LESS
P22,1,48,1,352.0,5213.48,LESS
P22,1,48,2,316.0,5213.48,LESS
P22,1,48,2,378.0,5213.48,LESS
P22,1,48,2,258.0,5213.48,LESS
P22,1,48,1,466.0,5213.48,LESS
P22,1,48,1,320.0,5213.48,LESS
P22,1,48,2,422.0,5213.48,LESS
P22,1,48,2,304.0,5213.48,LESS
P22,1,48,2,248.0,5213.48,LESS
P22,1,48,1,398.0,5213.48,LESS
P22,1,48,2,402.0,5213.48,LESS
P22,1,48,2,152.47999999999956,5213.48,LESS
P22,1,49,0,239.0,5511.334,LESS
P22,1,49,1,318.0,5511.334,LESS
P22,1,49,1,484.0,5511.334,LESS
P22,1,49,2,478.0,5511.334,LESS
P22,1,49,2,380.0,5511.334,LESS
P22,1,49,1,516.0,5511.334,LESS
P22,1,49,1,286.0,5511.334,LESS
P22,1,49,2,716.0,5511.334,LESS
P22,1,49,2,300.0,5511.334,LESS
P22,1,49,1,498.0,5511.334,LESS
P22,1,49,1,200.0,5511.334,LESS
P22,1,49,2,394.0,5511.334,LESS
P22,1,49,2,284.0,5511.334,LESS
P22,1,49,2,418.33399999999983,5511.334,LESS
P22,1,50,0,227.0,2007.957,LESS
P22,1,50,1,220.0,2007.957,LESS
P22,1,50,1,322.0,2007.957,LESS
P22,1,50,1,190.0,2007.957,LESS
